ID_reporte,fecha_reporte,ID_clima,id_producto,ID_finca,PH,Tipo_cafe,ubicacion,hectarias,Humedad,Temperatura,Fecha_clima
6548,2025-05-13,201,1,105,,Arábica,Antioquia,8,63.0,19.6,2025-05-13
1036,2025-05-08,201,4,102,99.9,Arábica,Antioquia,10,80.0,18.8,2025-05-08
9363,2025-05-18,201,2,101,6.8,Robusta,Nariño,11,60.0,21.6,2025-05-18
2514,2025-05-17,203,2,103,5.5,Excelsa,Caldas,13,66.0,19.3,2025-05-17
10318,2025-05-09,202,2,103,5.7,Arábica,Caldas,14,89.0,19.3,2025-05-09
1040,2025-05-03,203,1,105,5.3,Arábica,Tolima,15,75.0,24.7,2025-05-03
5820,2025-05-19,203,2,101,5.3,Excelsa,??,20,67.0,18.0,2025-05-19
4466,2025-05-21,202,3,101,5.2,Arábica,Caldas,7,82.0,20.6,2025-05-21
2761,2025-05-02,201,2,103,5.9,Excelsa,Nariño,9,67.0,27.9,2025-05-02
3305,2025-05-11,203,2,103,6.3,Robusta,Huila,9,,23.3,2025-05-11
4724,2025-05-25,201,3,105,6.9,Robusta,Nariño,10,81.0,29.1,2025-05-25
9285,2025-05-06,204,3,105,5.9,Arábica,Huila,12,74.0,18.9,2025-05-06
5994,2025-05-29,201,2,102,5.9,Liberica,Huila,6,77.0,19.0,2025-05-29
9128,2025-05-06,203,2,102,5.6,Robusta,Caldas,12,73.0,25.2,2025-05-06
4033,2025-05-27,204,1,103,5.3,Robusta,Nariño,9,92.0,28.7,2025-05-27
8939,2025-05-25,203,3,105,5.0,Robusta,Caldas,5,87.0,25.0,2025-05-25
4040,2025-05-16,201,2,101,6.6,Excelsa,Huila,16,82.0,21.4,2025-05-16
10656,2025-05-22,202,3,101,6.9,Liberica,Caldas,19,95.0,18.4,2025-05-22
3546,2025-05-17,203,4,104,5.5,Arábica,Tolima,14,70.0,26.8,2025-05-17
3593,2025-05-07,203,2,103,5.3,Robusta,Antioquia,6,83.0,23.1,2025-05-07
2189,2025-05-19,202,1,103,5.0,Excelsa,Antioquia,14,63.0,27.9,2025-05-19
8967,2025-05-26,201,2,102,5.2,Liberica,Tolima,16,80.0,28.0,2025-05-26
7078,2025-05-28,202,3,105,6.0,Arábica,Huila,13,,27.4,2025-05-28
1108,2025-05-02,202,2,101,6.3,Excelsa,Antioquia,10,84.0,24.0,2025-05-02
2316,2025-05-21,201,2,102,5.8,Excelsa,Caldas,9,86.0,27.8,2025-05-21
9188,2025-05-29,202,1,104,5.2,Robusta,Huila,20,81.0,19.0,2025-05-29
3754,2025-05-23,202,2,105,5.6,Excelsa,Caldas,9,80.0,25.8,2025-05-23
10754,2025-05-10,204,2,105,5.2,Liberica,Huila,6,95.0,24.9,2025-05-10
7232,2025-05-30,204,2,103,6.6,Robusta,Nariño,13,,24.6,2025-05-30
3877,2025-05-23,201,1,102,6.8,Liberica,Nariño,6,64.0,23.6,2025-05-23
6324,2025-05-28,202,1,102,7.0,Robusta,Antioquia,18,83.0,28.7,2025-05-28
1800,2025-05-29,204,2,104,,Liberica,Nariño,15,68.0,19.9,2025-05-29
4571,2025-05-25,201,1,104,5.4,Robusta,Huila,14,60.0,23.4,2025-05-25
3895,2025-05-13,201,2,101,6.0,Liberica,Caldas,13,76.0,20.0,2025-05-13
3928,2025-05-30,202,2,105,6.3,Robusta,Huila,5,,21.8,2025-05-30
9179,2025-05-11,203,4,104,5.9,Robusta,Tolima,18,92.0,,2025-05-11
1972,2025-05-25,202,2,101,6.3,Robusta,Nariño,13,80.0,26.0,2025-05-25
7688,2025-05-03,204,2,103,5.1,Liberica,Huila,18,62.0,28.1,2025-05-03
9576,2025-05-21,204,1,105,6.6,Robusta,Huila,14,65.0,27.5,2025-05-21
3021,2025-05-21,201,2,101,6.0,Arábica,Huila,14,70.0,21.5,2025-05-21
10055,2025-05-27,201,2,104,5.1,Liberica,Tolima,19,85.0,28.3,2025-05-27
1953,2025-05-31,204,1,104,5.0,Liberica,Tolima,10,60.0,18.1,2025-05-31
6360,2025-05-20,202,3,105,6.5,Excelsa,Caldas,17,80.0,18.5,2025-05-20
4858,2025-05-08,201,4,102,5.4,Liberica,Antioquia,19,78.0,18.1,2025-05-08
6862,2025-05-25,202,3,102,,Arábica,Huila,8,61.0,28.0,2025-05-25
4146,2025-05-18,203,4,102,5.3,Liberica,Nariño,19,60.0,20.4,2025-05-18
4306,2025-05-18,201,4,103,7.0,Liberica,Huila,19,77.0,25.5,2025-05-18
4007,2025-05-18,204,4,102,6.3,Robusta,Huila,12,87.0,24.1,2025-05-18
10002,2025-05-09,201,2,102,5.4,Excelsa,Caldas,20,94.0,,2025-05-09
8771,2025-05-05,203,4,101,6.0,Robusta,Tolima,9,60.0,29.5,2025-05-05
8439,2025-05-24,203,1,104,6.3,Arábica,Huila,13,75.0,25.1,2025-05-24
8943,2025-05-16,202,3,102,6.7,Liberica,Nariño,6,63.0,23.3,2025-05-16
10239,2025-05-30,204,4,101,5.5,Robusta,Tolima,6,71.0,20.2,2025-05-30
2057,2025-05-22,202,1,105,5.6,Excelsa,Nariño,10,70.0,26.9,2025-05-22
4155,2025-05-11,204,4,105,6.0,Liberica,Nariño,18,83.0,21.5,2025-05-11
4788,2025-05-16,203,3,101,,Excelsa,Caldas,11,77.0,22.8,2025-05-16
10190,2025-05-30,204,2,103,5.2,Robusta,Nariño,5,83.0,21.5,2025-05-30
8826,2025-05-04,201,3,102,5.5,Liberica,Tolima,11,86.0,21.3,2025-05-04
8540,2025-05-29,202,2,103,5.6,Robusta,Antioquia,9,91.0,19.7,2025-05-29
8232,2025-05-11,202,1,101,,Liberica,Antioquia,12,74.0,24.7,2025-05-11
1765,2025-05-28,201,2,105,5.5,Robusta,Caldas,9,68.0,20.8,2025-05-28
6020,2025-05-27,202,4,105,6.5,Excelsa,Caldas,16,93.0,23.8,2025-05-27
5904,2025-05-11,201,3,102,6.9,Liberica,Caldas,11,91.0,20.2,2025-05-11
9094,2025-05-23,202,3,101,6.8,Liberica,Tolima,10,70.0,19.2,2025-05-23
7844,2025-05-22,204,1,104,5.6,Robusta,Tolima,15,81.0,24.7,2025-05-22
3166,2025-05-24,203,2,103,5.5,Robusta,Tolima,12,93.0,22.1,2025-05-24
2863,2025-05-28,201,2,105,6.0,Liberica,Antioquia,16,78.0,27.0,2025-05-28
8851,2025-05-26,204,2,104,5.2,Robusta,Caldas,11,83.0,21.5,2025-05-26
10124,2025-05-01,203,3,101,6.0,Desconocido,Caldas,10,76.0,29.3,2025-05-01
3341,2025-05-20,203,3,101,5.5,Arábica,Huila,8,81.0,20.7,2025-05-20
6528,2025-05-11,202,3,104,6.0,Arábica,Caldas,13,75.0,25.3,2025-05-11
7744,2025-05-22,204,1,103,6.6,Liberica,Huila,11,79.0,24.6,2025-05-22
5004,2025-05-13,202,3,102,6.3,Liberica,Caldas,20,80.0,21.7,2025-05-13
2124,2025-05-22,201,1,104,5.2,Excelsa,Antioquia,15,72.0,18.2,2025-05-22
9710,2025-05-01,204,4,101,5.3,Excelsa,Antioquia,19,70.0,22.3,2025-05-01
5050,2025-05-05,202,4,101,6.4,Arábica,Caldas,18,73.0,20.9,2025-05-05
8641,2025-05-07,203,1,105,5.1,Arábica,Caldas,18,81.0,23.8,2025-05-07
1766,2025-05-25,204,2,101,,Arábica,Tolima,5,82.0,20.1,2025-05-25
3345,2025-05-02,203,1,102,6.3,Arábica,Tolima,5,86.0,19.3,2025-05-02
5072,2025-05-07,202,4,105,5.8,Arábica,Huila,14,70.0,22.0,2025-05-07
8217,2025-05-30,203,4,105,6.7,Arábica,Antioquia,6,80.0,23.0,2025-05-30
5217,2025-05-03,202,2,103,5.3,Arábica,Antioquia,5,91.0,29.5,2025-05-03
8953,2025-05-28,202,3,104,6.3,Excelsa,Antioquia,17,74.0,19.8,2025-05-28
6971,2025-05-30,204,1,105,6.4,Liberica,Nariño,12,86.0,25.3,2025-05-30
4351,2025-05-06,202,3,105,5.8,Liberica,Antioquia,11,78.0,27.4,2025-05-06
5696,2025-05-19,203,2,105,5.4,Excelsa,Huila,13,94.0,20.3,2025-05-19
4400,2025-05-25,202,4,101,7.0,Liberica,Caldas,14,83.0,29.3,2025-05-25
5082,2025-05-13,203,4,101,5.5,Excelsa,Tolima,20,68.0,22.1,2025-05-13
10150,2025-05-30,202,1,105,6.6,Excelsa,??,10,91.0,,2025-05-30
2225,2025-05-23,204,4,101,6.5,Robusta,Nariño,13,65.0,26.4,2025-05-23
7293,2025-05-20,202,1,104,6.3,Arábica,Tolima,14,78.0,26.9,2025-05-20
4123,2025-05-06,201,2,104,6.8,Robusta,Tolima,17,60.0,27.1,2025-05-06
1511,2025-05-22,201,1,102,6.5,Robusta,Huila,19,92.0,22.5,2025-05-22
6795,2025-05-29,204,3,105,5.8,Robusta,Huila,19,89.0,24.0,2025-05-29
9182,2025-05-15,202,3,102,5.5,Robusta,Tolima,12,63.0,,2025-05-15
10418,2025-05-13,202,4,105,5.1,Liberica,Nariño,20,64.0,18.2,2025-05-13
1097,2025-05-12,201,1,103,6.9,Liberica,Antioquia,6,66.0,29.3,2025-05-12
7682,2025-05-10,204,4,102,6.0,Robusta,Tolima,6,90.0,25.3,2025-05-10
2513,2025-05-30,202,4,103,5.2,Excelsa,Nariño,15,85.0,22.7,2025-05-30
9792,2025-05-15,202,4,105,6.8,Robusta,Antioquia,16,62.0,25.2,2025-05-15
1120,2025-05-24,203,2,104,5.1,Liberica,Tolima,16,,20.7,2025-05-24
8792,2025-05-02,201,2,104,5.9,Robusta,??,19,89.0,18.6,2025-05-02
7518,2025-05-21,202,1,104,6.0,Robusta,Antioquia,14,90.0,24.6,2025-05-21
1034,2025-05-24,201,1,105,5.9,Liberica,Antioquia,9,69.0,-5.0,2025-05-24
8888,2025-05-27,203,4,103,6.6,Excelsa,Caldas,16,81.0,19.7,2025-05-27
7831,2025-05-19,202,4,105,5.5,Robusta,Caldas,20,70.0,23.2,2025-05-19
6422,2025-05-16,202,2,104,6.5,Arábica,Tolima,15,74.0,18.7,2025-05-16
2069,2025-05-30,202,2,104,5.3,Excelsa,Tolima,5,80.0,27.0,2025-05-30
2348,2025-05-31,202,2,103,6.5,Arábica,Nariño,16,64.0,29.3,2025-05-31
5748,2025-05-24,202,1,101,6.7,Arábica,Antioquia,15,,19.0,2025-05-24
7006,2025-05-18,202,2,104,5.6,Excelsa,Caldas,12,73.0,26.0,2025-05-18
7040,2025-05-01,201,4,104,5.5,Robusta,Caldas,8,70.0,27.8,2025-05-01
4818,2025-05-11,204,3,102,6.8,Robusta,Huila,11,82.0,30.0,2025-05-11
9447,2025-05-05,202,4,105,6.3,Excelsa,Caldas,13,71.0,23.6,2025-05-05
6270,2025-05-24,204,2,104,6.5,Liberica,Caldas,6,90.0,19.8,2025-05-24
7898,2025-05-22,203,2,104,5.9,Robusta,Huila,16,75.0,22.1,2025-05-22
6310,2025-05-27,204,1,103,6.3,Arábica,Antioquia,19,74.0,18.3,2025-05-27
1032,2025-05-03,204,2,105,6.9,Excelsa,Tolima,11,78.0,25.9,2025-05-03
6675,2025-05-21,204,4,102,5.3,Liberica,Huila,12,86.0,23.0,2025-05-21
5387,2025-05-02,203,2,101,6.7,Robusta,Huila,15,64.0,27.2,2025-05-02
1030,2025-05-04,203,2,104,5.5,Excelsa,Caldas,19,71.0,25.1,2025-05-04
5203,2025-05-08,201,1,103,5.4,Excelsa,Caldas,5,93.0,29.5,2025-05-08
8508,2025-05-04,202,3,102,5.9,Excelsa,Caldas,17,95.0,28.5,2025-05-04
1736,2025-05-15,204,1,102,6.7,Excelsa,Tolima,19,72.0,18.3,2025-05-15
3068,2025-05-28,203,3,101,5.1,Liberica,Nariño,6,67.0,21.7,2025-05-28
1107,2025-05-27,204,4,105,5.1,Robusta,Antioquia,14,79.0,21.7,2025-05-27
10645,2025-05-15,203,1,105,5.0,Excelsa,Nariño,14,94.0,25.9,2025-05-15
9895,2025-05-11,201,4,105,5.8,Arábica,Huila,11,,23.5,2025-05-11
9021,2025-05-12,204,2,104,,Excelsa,Antioquia,10,86.0,18.5,2025-05-12
3233,2025-05-25,204,2,102,,Excelsa,Caldas,7,74.0,27.6,2025-05-25
1994,2025-05-28,204,4,103,5.9,Liberica,Nariño,9,78.0,23.4,2025-05-28
10413,2025-05-09,202,2,105,6.7,Liberica,Antioquia,20,94.0,24.0,2025-05-09
8059,2025-05-10,202,2,104,5.8,Liberica,Tolima,16,70.0,19.3,2025-05-10
7790,2025-05-27,202,1,101,5.5,Liberica,Tolima,14,75.0,23.6,2025-05-27
1361,2025-05-30,201,1,101,5.2,Robusta,Nariño,8,66.0,20.3,2025-05-30
1305,2025-05-07,202,4,105,5.5,Excelsa,Caldas,5,68.0,20.8,2025-05-07
3628,2025-05-05,203,3,101,6.4,Liberica,Nariño,11,70.0,-5.0,2025-05-05
9966,2025-05-03,203,2,103,6.1,Liberica,Caldas,11,68.0,22.1,2025-05-03
5514,2025-05-13,203,3,102,6.3,Excelsa,Caldas,18,81.0,24.4,2025-05-13
6911,2025-05-02,204,1,105,6.7,Arábica,Huila,8,84.0,29.0,2025-05-02
9314,2025-05-03,203,1,102,6.0,Arábica,Antioquia,9,73.0,20.7,2025-05-03
4101,2025-05-05,201,1,103,6.1,Robusta,Caldas,5,95.0,28.6,2025-05-05
6704,2025-05-10,202,4,102,6.0,Excelsa,Nariño,19,94.0,21.9,2025-05-10
4899,2025-05-26,201,4,105,5.5,Excelsa,Huila,6,66.0,27.0,2025-05-26
6441,2025-05-11,204,1,101,6.5,Liberica,Nariño,5,92.0,,2025-05-11
8931,2025-05-04,202,4,103,5.1,Robusta,Tolima,16,66.0,23.2,2025-05-04
1622,2025-05-26,203,2,104,5.4,Liberica,Antioquia,7,87.0,28.4,2025-05-26
8236,2025-05-09,204,1,105,6.3,Arábica,Antioquia,16,83.0,21.6,2025-05-09
3499,2025-05-03,204,3,104,6.9,Robusta,Huila,12,81.0,25.1,2025-05-03
1714,2025-05-23,201,3,101,5.2,Excelsa,Tolima,10,91.0,29.0,2025-05-23
9404,2025-05-16,203,4,105,6.6,Robusta,Antioquia,11,77.0,27.3,2025-05-16
3856,2025-05-27,202,1,104,5.9,Arábica,Antioquia,17,89.0,20.3,2025-05-27
5270,2025-05-31,202,2,103,6.7,Liberica,Caldas,20,66.0,26.8,2025-05-31
3909,2025-05-06,203,3,101,6.4,Liberica,Antioquia,18,61.0,26.6,2025-05-06
9081,2025-05-04,204,2,105,6.9,Excelsa,Caldas,11,78.0,26.9,2025-05-04
5517,2025-05-27,201,1,101,7.0,Arábica,Caldas,8,77.0,28.7,2025-05-27
2262,2025-05-02,202,1,101,5.1,Excelsa,Antioquia,5,95.0,28.5,2025-05-02
4161,2025-05-21,202,4,102,,Liberica,Caldas,7,81.0,20.3,2025-05-21
1971,2025-05-18,203,1,105,6.7,Arábica,Huila,7,69.0,22.6,2025-05-18
4913,2025-05-26,202,2,103,6.8,Liberica,Huila,13,91.0,21.6,2025-05-26
6199,2025-05-12,202,2,101,6.6,Arábica,Tolima,7,66.0,21.6,2025-05-12
9847,2025-05-30,204,4,105,,Liberica,Antioquia,10,69.0,26.3,2025-05-30
1260,2025-05-12,201,2,105,5.7,Liberica,Huila,8,88.0,26.9,2025-05-12
4791,2025-05-03,201,4,104,5.4,Robusta,Caldas,7,67.0,28.1,2025-05-03
10203,2025-05-03,203,3,102,6.7,Robusta,Huila,17,85.0,23.1,2025-05-03
1488,2025-05-22,204,2,101,6.3,Robusta,Caldas,15,92.0,24.4,2025-05-22
8908,2025-05-28,202,2,102,5.1,Excelsa,Tolima,14,77.0,28.6,2025-05-28
1519,2025-05-23,202,4,105,5.8,Liberica,Caldas,15,87.0,21.0,2025-05-23
9343,2025-05-05,204,2,104,7.0,Excelsa,Antioquia,7,95.0,29.6,2025-05-05
1312,2025-05-13,204,2,101,6.1,Excelsa,Caldas,11,79.0,27.1,2025-05-13
4232,2025-05-16,202,3,103,5.6,Arábica,Tolima,12,82.0,24.7,2025-05-16
8933,2025-05-20,203,1,103,,Liberica,Caldas,11,76.0,29.0,2025-05-20
8458,2025-05-13,201,1,105,6.6,Arábica,Tolima,10,70.0,18.5,2025-05-13
10784,2025-05-14,202,3,101,5.9,Excelsa,Nariño,14,77.0,29.8,2025-05-14
6184,2025-05-17,204,3,101,5.8,Liberica,Caldas,14,72.0,23.2,2025-05-17
9077,2025-05-26,201,4,101,5.5,Liberica,Nariño,18,76.0,18.9,2025-05-26
7502,2025-05-19,201,2,103,5.1,Excelsa,Nariño,14,79.0,,2025-05-19
7791,2025-05-09,202,4,104,5.1,Arábica,Antioquia,11,,26.9,2025-05-09
8773,2025-05-21,201,1,104,6.1,Liberica,Caldas,20,73.0,22.3,2025-05-21
3738,2025-05-23,203,3,104,6.6,Arábica,Huila,6,75.0,29.3,2025-05-23
8842,2025-05-05,201,1,102,6.1,Robusta,Tolima,9,87.0,25.0,2025-05-05
7262,2025-05-16,202,2,105,6.4,Excelsa,Huila,17,69.0,20.9,2025-05-16
9206,2025-05-24,202,2,105,6.0,Arábica,Nariño,5,74.0,21.7,2025-05-24
2248,2025-05-13,203,1,103,,Excelsa,Antioquia,11,80.0,26.7,2025-05-13
10336,2025-05-05,203,1,105,5.7,Liberica,Antioquia,11,82.0,27.5,2025-05-05
5195,2025-05-20,201,3,105,6.2,Liberica,Antioquia,10,61.0,20.9,2025-05-20
9001,2025-05-25,203,1,101,7.0,Robusta,Huila,20,90.0,21.4,2025-05-25
8378,2025-05-01,204,3,105,6.5,Excelsa,Tolima,6,80.0,24.8,2025-05-01
4435,2025-05-15,204,3,102,6.8,Robusta,Caldas,16,81.0,22.6,2025-05-15
6382,2025-05-22,203,4,103,5.7,Robusta,Huila,18,61.0,19.2,2025-05-22
1959,2025-05-30,201,4,103,5.3,Arábica,Nariño,20,80.0,28.2,2025-05-30
1417,2025-05-21,204,2,103,5.2,Robusta,Nariño,17,93.0,27.3,2025-05-21
6742,2025-05-06,204,2,103,6.8,Arábica,Nariño,12,83.0,24.6,2025-05-06
7728,2025-05-27,201,2,105,6.1,Liberica,Antioquia,12,79.0,27.1,2025-05-27
5382,2025-05-02,203,3,102,6.7,Robusta,Caldas,5,95.0,24.1,2025-05-02
6197,2025-05-30,204,2,103,5.1,Robusta,Caldas,19,88.0,28.0,2025-05-30
2113,2025-05-02,204,3,105,6.6,Arábica,Tolima,15,66.0,27.9,2025-05-02
3689,2025-05-14,201,2,102,5.7,Excelsa,Nariño,9,74.0,29.0,2025-05-14
7473,2025-05-16,202,4,105,6.8,Arábica,Tolima,16,66.0,,2025-05-16
9820,2025-05-25,203,4,103,6.5,Arábica,Caldas,10,92.0,29.9,2025-05-25
8808,2025-05-26,204,1,103,5.3,Robusta,Antioquia,12,95.0,24.4,2025-05-26
4411,2025-05-25,203,4,104,5.2,Excelsa,Nariño,7,79.0,26.3,2025-05-25
1081,2025-05-31,203,1,101,5.8,Arábica,Tolima,9,,26.9,2025-05-31
5614,2025-05-17,202,2,102,5.6,Robusta,Caldas,20,92.0,29.2,2025-05-17
2374,2025-05-22,201,3,101,6.9,Excelsa,Tolima,19,80.0,28.6,2025-05-22
2510,2025-05-04,201,3,105,6.0,Excelsa,Huila,17,80.0,,2025-05-04
7443,2025-05-14,202,3,103,5.1,Arábica,Caldas,7,89.0,25.0,2025-05-14
4071,2025-05-30,201,3,105,5.7,Robusta,Huila,5,60.0,18.5,2025-05-30
4016,2025-05-23,204,3,103,5.1,Robusta,Huila,15,63.0,19.1,2025-05-23
5823,2025-05-27,204,4,104,5.6,Excelsa,Caldas,17,73.0,22.1,2025-05-27
8822,2025-05-25,203,3,102,5.2,Excelsa,Caldas,8,83.0,21.1,2025-05-25
1093,2025-05-08,202,1,103,5.1,Liberica,Tolima,19,66.0,28.9,2025-05-08
10421,2025-05-09,201,2,104,5.4,Arábica,Huila,16,60.0,22.9,2025-05-09
7600,2025-05-15,201,2,101,,Excelsa,Caldas,13,79.0,19.9,2025-05-15
5443,2025-05-06,202,1,101,5.7,Robusta,Huila,12,88.0,26.3,2025-05-06
8602,2025-05-08,201,1,102,5.6,Excelsa,Huila,12,63.0,23.6,2025-05-08
4835,2025-05-11,202,3,103,5.2,Excelsa,Nariño,18,90.0,22.5,2025-05-11
10702,2025-05-08,202,4,103,6.8,Excelsa,Tolima,15,78.0,29.8,2025-05-08
5322,2025-05-02,201,1,101,5.2,Robusta,Tolima,14,94.0,,2025-05-02
4394,2025-05-30,202,2,102,6.5,Arábica,Caldas,19,83.0,29.6,2025-05-30
5752,2025-05-01,203,3,102,5.5,Arábica,Tolima,11,88.0,23.2,2025-05-01
8229,2025-05-21,203,3,102,6.8,Robusta,Nariño,11,93.0,27.9,2025-05-21
10191,2025-05-30,204,2,104,6.6,Excelsa,Caldas,16,86.0,19.0,2025-05-30
3361,2025-05-22,204,2,105,6.4,Arábica,Caldas,7,78.0,26.1,2025-05-22
2148,2025-05-17,203,2,101,6.3,Robusta,Caldas,15,69.0,19.7,2025-05-17
6666,2025-05-08,203,2,104,5.2,Liberica,Nariño,20,89.0,28.3,2025-05-08
9075,2025-05-15,204,1,101,6.3,Arábica,Nariño,10,63.0,27.3,2025-05-15
5943,2025-05-13,204,3,104,6.9,Liberica,Huila,17,76.0,22.4,2025-05-13
4663,2025-05-25,201,4,104,6.2,Excelsa,Caldas,5,95.0,21.1,2025-05-25
2563,2025-05-02,204,2,103,5.9,Excelsa,Tolima,20,67.0,18.4,2025-05-02
5113,2025-05-22,202,4,101,5.3,Arábica,Tolima,19,69.0,28.2,2025-05-22
10050,2025-05-09,203,3,103,6.0,Excelsa,Tolima,20,81.0,19.8,2025-05-09
10276,2025-05-13,202,2,103,6.2,Excelsa,Nariño,16,77.0,27.1,2025-05-13
9538,2025-05-24,203,2,102,6.7,Liberica,Antioquia,20,87.0,22.7,2025-05-24
1795,2025-05-23,201,4,105,5.8,Arábica,Tolima,19,74.0,18.0,2025-05-23
6854,2025-05-16,201,4,102,7.0,Arábica,Tolima,5,94.0,25.1,2025-05-16
8619,2025-05-26,201,4,102,7.0,Arábica,Caldas,13,,24.2,2025-05-26
2594,2025-05-28,204,2,104,5.6,Liberica,Caldas,13,84.0,29.8,2025-05-28
8418,2025-05-18,202,4,104,6.3,Excelsa,Antioquia,12,63.0,26.8,2025-05-18
6267,2025-05-02,203,1,104,6.7,Arábica,Huila,19,92.0,29.6,2025-05-02
8147,2025-05-10,201,4,105,6.4,Arábica,Nariño,11,78.0,26.0,2025-05-10
1089,2025-05-24,204,3,101,6.1,Arábica,Nariño,10,80.0,21.0,2025-05-24
9695,2025-05-24,204,3,102,5.4,Robusta,??,17,94.0,26.7,2025-05-24
10732,2025-05-09,203,3,104,6.8,Robusta,Nariño,12,,27.0,2025-05-09
10446,2025-05-03,204,2,105,6.9,Liberica,Nariño,20,60.0,23.1,2025-05-03
7754,2025-05-03,204,4,102,6.0,Arábica,Tolima,17,94.0,22.6,2025-05-03
4502,2025-05-22,201,1,105,6.0,Liberica,Nariño,12,86.0,24.0,2025-05-22
3234,2025-05-03,202,1,104,6.1,Arábica,Nariño,20,92.0,22.8,2025-05-03
3803,2025-05-26,204,4,103,5.8,Arábica,Nariño,14,82.0,28.9,2025-05-26
5424,2025-05-15,204,2,102,6.0,Liberica,Nariño,15,87.0,27.9,2025-05-15
6663,2025-05-17,204,3,104,5.3,Excelsa,Nariño,13,76.0,21.9,2025-05-17
8170,2025-05-15,202,2,101,6.5,Liberica,Huila,20,64.0,29.5,2025-05-15
9337,2025-05-30,202,1,104,5.7,Arábica,Nariño,10,82.0,25.0,2025-05-30
3148,2025-05-16,201,2,101,5.1,Excelsa,Antioquia,8,94.0,20.7,2025-05-16
8969,2025-05-11,201,3,105,5.7,Robusta,Tolima,5,87.0,20.1,2025-05-11
7551,2025-05-18,201,3,103,6.6,Liberica,Antioquia,16,72.0,19.5,2025-05-18
